ID,X,Y,N,A,Ap,Ar,He,Ho,FIS,NS_ex0pct,NS_ex2pct,NS_ex5pct,NS_ex10pct
Indiv_1,800,24800,30,4.05,0.861702128,3.963498099,0.5657,0.57505,,17.5,15.9,13.6,15.9
Indiv_2,800,23756.52174,27,4.05,0.861702128,3.984929955,0.56875,0.57055,,16.7,13.8,12.3,14.6
Indiv_3,800,22713.04348,26,4.05,0.861702128,3.993148715,0.5676,0.56725,,15.3,12.5,11.5,13.4
Indiv_4,800,21669.56522,23,4.05,0.861702128,4.008083027,0.55505,0.5653,,15.5,13.6,11.8,15.5
Indiv_5,800,20626.08696,23,4.1,0.872340426,4.0572923,0.55465,0.5588,,25.1,20.5,21.3,25.1
Indiv_6,800,19582.6087,14,,,,,,,,,,
Indiv_7,800,18539.13043,7,,,,,,,,,,
Indiv_8,800,17495.65217,7,,,,,,,,,,
Indiv_9,800,16452.17391,7,,,,,,,,,,
Indiv_10,800,15408.69565,9,,,,,,,,,,
Indiv_11,800,14365.21739,9,,,,,,,,,,
Indiv_12,800,13321.73913,10,,,,,,,,,,
Indiv_13,800,12278.26087,11,,,,,,,,,,
Indiv_14,800,11234.78261,18,,,,,,,,,,
Indiv_15,800,10191.30435,25,4.35,0.925531915,4.246522558,0.60825,0.598,0.02325,29.5,21.6,20.8,29.5
Indiv_16,800,9147.826087,24,4.4,0.936170213,4.299525089,0.61355,0.60635,0.01605,23.2,18.8,17.6,23.2
Indiv_17,800,8104.347826,20,4.25,0.904255319,4.25,0.6086,0.6,0.00425,28.9,25.5,27.1,28.9
Indiv_18,800,7060.869565,15,,,,,,,,,,
Indiv_19,800,6017.391304,12,,,,,,,,,,
Indiv_20,800,4973.913043,9,,,,,,,,,,
Indiv_21,800,3930.434783,8,,,,,,,,,,
Indiv_22,800,2886.956522,9,,,,,,,,,,
Indiv_23,800,1843.478261,9,,,,,,,,,,
Indiv_24,800,800,6,,,,,,,,,,
Indiv_25,1843.478261,24800,31,4,0.85106383,3.880879586,0.56885,0.5854,,18.3,15.6,14,16.1
Indiv_26,1843.478261,23756.52174,27,4,0.85106383,3.91612839,0.56825,0.5835,,16,13.8,12.6,13.9
Indiv_27,1843.478261,22713.04348,33,4.2,0.893617021,4.073781476,0.5724,0.5758,,21.3,18.8,16.3,21
Indiv_28,1843.478261,21669.56522,29,4.15,0.882978723,4.051062673,0.5681,0.57075,,20.4,16.2,15.1,18.1
Indiv_29,1843.478261,20626.08696,26,4.05,0.861702128,3.983305649,0.56445,0.5692,,14.1,11.8,11.7,12.4
Indiv_30,1843.478261,19582.6087,14,,,,,,,,,,
Indiv_31,1843.478261,18539.13043,10,,,,,,,,,,
Indiv_32,1843.478261,17495.65217,10,,,,,,,,,,
Indiv_33,1843.478261,16452.17391,11,,,,,,,,,,
Indiv_34,1843.478261,15408.69565,11,,,,,,,,,,
Indiv_35,1843.478261,14365.21739,13,,,,,,,,,,
Indiv_36,1843.478261,13321.73913,13,,,,,,,,,,
Indiv_37,1843.478261,12278.26087,15,,,,,,,,,,
Indiv_38,1843.478261,11234.78261,23,4.25,0.904255319,4.180858694,0.6072,0.61525,-0.00955,39,29.2,35.4,39
Indiv_39,1843.478261,10191.30435,32,4.45,0.946808511,4.295909123,0.6187,0.6063,0.02505,42.7,31.9,32.2,36.8
Indiv_40,1843.478261,9147.826087,37,4.45,0.946808511,4.2797821,0.61625,0.58655,0.0552,31.2,27.2,30.2,29.4
Indiv_41,1843.478261,8104.347826,35,4.45,0.946808511,4.249569464,0.61175,0.60285,0.0186,30.4,24.3,24.5,26.1
Indiv_42,1843.478261,7060.869565,27,4.4,0.936170213,4.283689947,0.61675,0.6002,0.02705,23.8,21.3,23.8,20.3
Indiv_43,1843.478261,6017.391304,17,,,,,,,,,,
Indiv_44,1843.478261,4973.913043,17,,,,,,,,,,
Indiv_45,1843.478261,3930.434783,15,,,,,,,,,,
Indiv_46,1843.478261,2886.956522,15,,,,,,,,,,
Indiv_47,1843.478261,1843.478261,14,,,,,,,,,,
Indiv_48,1843.478261,800,11,,,,,,,,,,
Indiv_49,2886.956522,24800,33,4.1,0.872340426,3.990690377,0.57855,0.5879,,17.6,15.9,15.4,16.2
Indiv_50,2886.956522,23756.52174,35,4.1,0.872340426,3.976018467,0.58125,0.58705,,20.1,18.4,18.1,18.6
Indiv_51,2886.956522,22713.04348,33,4.1,0.872340426,3.990690377,0.57855,0.5879,,17.6,15.9,15.4,16.2
Indiv_52,2886.956522,21669.56522,30,4.15,0.882978723,4.040585554,0.573,0.58,,20.2,16.1,15.2,19.6
Indiv_53,2886.956522,20626.08696,26,4.05,0.861702128,3.983044671,0.5603,0.55385,,15.6,13.4,12,13.7
Indiv_54,2886.956522,19582.6087,15,,,,,,,,,,
Indiv_55,2886.956522,18539.13043,11,,,,,,,,,,
Indiv_56,2886.956522,17495.65217,14,,,,,,,,,,
Indiv_57,2886.956522,16452.17391,10,,,,,,,,,,
Indiv_58,2886.956522,15408.69565,11,,,,,,,,,,
Indiv_59,2886.956522,14365.21739,11,,,,,,,,,,
Indiv_60,2886.956522,13321.73913,14,,,,,,,,,,
Indiv_61,2886.956522,12278.26087,24,4.45,0.946808511,4.316667829,0.59445,0.6021,-0.0076,51.6,26.7,26.5,51.6
Indiv_62,2886.956522,11234.78261,38,4.55,0.968085106,4.307237386,0.6133,0.6,0.0343,43.9,31.6,41.6,38.4
Indiv_63,2886.956522,10191.30435,44,4.5,0.957446809,4.279757015,0.61185,0.5852,0.05065,40.1,35.2,36.6,39.1
Indiv_64,2886.956522,9147.826087,43,4.5,0.957446809,4.292687209,0.6151,0.5895,0.04995,35.3,29,33.3,33.6
Indiv_65,2886.956522,8104.347826,42,4.45,0.946808511,4.263327153,0.6144,0.5952,0.03665,30.4,27.4,28.3,29.7
