"NH_Index","NH_ID","X","Y","N","A","Ap","Ar","Hs","Ho","FIS","HWE_p","HetEx_p","HomEx_p","NS_ex0.10","NS_ex0.05","NS_ex0.02","NS_ex0.00"
1,"Indiv1",800,24800,29,4,0.8511,3.8976,0.5648,0.581,,0.4084,0.1893,0.2339,13.5,14.9,15.1,17.1
2,"Indiv2",800,23756.52174,27,4.05,0.8617,3.9849,0.5687,0.5704,,0.4011,0.1616,0.2918,12.3,13.8,14.6,16.7
3,"Indiv3",800,22713.04348,26,4.05,0.8617,3.9931,0.5676,0.5673,,0.4,0.1392,0.2948,11.5,12.5,13.4,15.3
4,"Indiv4",800,21669.56522,23,4.05,0.8617,4.0081,0.555,0.5652,,0.5189,0.1484,0.3007,11.8,13.6,15.5,15.5
5,"Indiv5",800,20626.08696,22,4.1,0.8723,4.071,0.5582,0.5682,,0.5275,0.2153,0.3602,23.1,27.5,30.4,30.4
6,"Indiv6",800,19582.6087,13,,,,,,,,,,,,,
7,"Indiv7",800,18539.13043,7,,,,,,,,,,,,,
8,"Indiv8",800,17495.65217,7,,,,,,,,,,,,,
9,"Indiv9",800,16452.17391,7,,,,,,,,,,,,,
10,"Indiv10",800,15408.69565,9,,,,,,,,,,,,,
11,"Indiv11",800,14365.21739,9,,,,,,,,,,,,,
12,"Indiv12",800,13321.73913,9,,,,,,,,,,,,,
13,"Indiv13",800,12278.26087,11,,,,,,,,,,,,,
14,"Indiv14",800,11234.78261,18,,,,,,,,,,,,,
15,"Indiv15",800,10191.30435,24,4.35,0.9255,4.2588,0.6129,0.6,0.0275,0.5111,0.2707,0.4554,21.5,22.4,31.5,31.5
16,"Indiv16",800,9147.826087,24,4.4,0.9362,4.2995,0.6135,0.6063,0.016,0.4989,0.2651,0.4054,17.6,18.8,23.2,23.2
17,"Indiv17",800,8104.347826,19,,,,,,,,,,,,,
18,"Indiv18",800,7060.869565,15,,,,,,,,,,,,,
19,"Indiv19",800,6017.391304,12,,,,,,,,,,,,,
20,"Indiv20",800,4973.913043,9,,,,,,,,,,,,,
21,"Indiv21",800,3930.434783,7,,,,,,,,,,,,,
22,"Indiv22",800,2886.956522,8,,,,,,,,,,,,,
23,"Indiv23",800,1843.478261,9,,,,,,,,,,,,,
24,"Indiv24",800,800,6,,,,,,,,,,,,,
25,"Indiv25",1843.478261,24800,30,4,0.8511,3.8892,0.5655,0.58,,0.3825,0.1155,0.256,14.4,15,15.2,17.2
26,"Indiv26",1843.478261,23756.52174,26,4,0.8511,3.9243,0.568,0.5769,,0.4236,0.163,0.2963,12.3,13.3,14,16
27,"Indiv27",1843.478261,22713.04348,33,4.2,0.8936,4.0738,0.5725,0.5758,,0.4632,0.1393,0.3296,16.3,18.8,21,21.3
28,"Indiv28",1843.478261,21669.56522,28,4.15,0.883,4.0598,0.5669,0.5679,,0.4602,0.1503,0.2933,14.5,14.8,16.6,18.8
29,"Indiv29",1843.478261,20626.08696,26,4.05,0.8617,3.9833,0.5644,0.5692,,0.4652,0.1488,0.3315,11.7,11.8,12.4,14.1
30,"Indiv30",1843.478261,19582.6087,14,,,,,,,,,,,,,
31,"Indiv31",1843.478261,18539.13043,10,,,,,,,,,,,,,
32,"Indiv32",1843.478261,17495.65217,10,,,,,,,,,,,,,
33,"Indiv33",1843.478261,16452.17391,11,,,,,,,,,,,,,
34,"Indiv34",1843.478261,15408.69565,11,,,,,,,,,,,,,
35,"Indiv35",1843.478261,14365.21739,13,,,,,,,,,,,,,
36,"Indiv36",1843.478261,13321.73913,13,,,,,,,,,,,,,
37,"Indiv37",1843.478261,12278.26087,13,,,,,,,,,,,,,
38,"Indiv38",1843.478261,11234.78261,22,4.15,0.883,4.1116,0.6038,0.6091,-0.0065,0.6053,0.2949,0.4788,34.9,30.5,38.3,38.3
39,"Indiv39",1843.478261,10191.30435,30,4.4,0.9362,4.2445,0.6156,0.605,0.0198,0.6006,0.3062,0.433,23.5,27,28.1,33.8
40,"Indiv40",1843.478261,9147.826087,37,4.45,0.9468,4.2798,0.6162,0.5865,0.0552,0.4015,0.2148,0.4676,30.2,27.2,29.4,31.2
41,"Indiv41",1843.478261,8104.347826,33,4.45,0.9468,4.2657,0.6171,0.6076,0.019,0.5166,0.246,0.4276,24.7,25.3,27,31.3
42,"Indiv42",1843.478261,7060.869565,27,4.4,0.9362,4.2837,0.6167,0.6,0.027,0.5643,0.2298,0.3643,23.8,21.3,20.3,23.8
43,"Indiv43",1843.478261,6017.391304,16,,,,,,,,,,,,,
44,"Indiv44",1843.478261,4973.913043,17,,,,,,,,,,,,,
45,"Indiv45",1843.478261,3930.434783,15,,,,,,,,,,,,,
46,"Indiv46",1843.478261,2886.956522,15,,,,,,,,,,,,,
47,"Indiv47",1843.478261,1843.478261,14,,,,,,,,,,,,,
48,"Indiv48",1843.478261,800,11,,,,,,,,,,,,,
49,"Indiv49",2886.956522,24800,33,4.1,0.8723,3.9907,0.5786,0.5879,,0.3455,0.1767,0.232,15.4,15.9,16.2,17.6
50,"Indiv50",2886.956522,23756.52174,34,4.1,0.8723,3.983,0.5795,0.5882,,0.3224,0.1351,0.2515,16.6,16.9,17,18.5
51,"Indiv51",2886.956522,22713.04348,33,4.1,0.8723,3.9907,0.5786,0.5879,,0.3456,0.1764,0.232,15.4,15.9,16.2,17.6
52,"Indiv52",2886.956522,21669.56522,29,4.15,0.883,4.0503,0.572,0.5776,,0.4798,0.133,0.2817,14.7,14.9,18.2,18.8
53,"Indiv53",2886.956522,20626.08696,25,4.05,0.8617,3.9937,0.5635,0.552,,0.4741,0.1219,0.3468,12.5,13.9,16.2,16.2
54,"Indiv54",2886.956522,19582.6087,15,,,,,,,,,,,,,
55,"Indiv55",2886.956522,18539.13043,11,,,,,,,,,,,,,
56,"Indiv56",2886.956522,17495.65217,14,,,,,,,,,,,,,
57,"Indiv57",2886.956522,16452.17391,10,,,,,,,,,,,,,
58,"Indiv58",2886.956522,15408.69565,11,,,,,,,,,,,,,
59,"Indiv59",2886.956522,14365.21739,11,,,,,,,,,,,,,
60,"Indiv60",2886.956522,13321.73913,14,,,,,,,,,,,,,
61,"Indiv61",2886.956522,12278.26087,23,4.45,0.9468,4.3474,0.5968,0.613,-0.0225,0.5178,0.261,0.4155,33.8,33.1,65.2,65.2
62,"Indiv62",2886.956522,11234.78261,38,4.55,0.9681,4.3072,0.6133,0.6,0.0344,0.4214,0.2339,0.4225,41.6,31.6,38.4,43.9
63,"Indiv63",2886.956522,10191.30435,43,4.5,0.9574,4.2762,0.611,0.5837,0.0528,0.3912,0.2178,0.4608,34.6,32.6,35.1,36.8
64,"Indiv64",2886.956522,9147.826087,43,4.5,0.9574,4.2927,0.6151,0.5895,0.0501,0.424,0.2408,0.4787,33.3,29,33.6,35.3
65,"Indiv65",2886.956522,8104.347826,41,4.45,0.9468,4.2564,0.614,0.589,0.0455,0.4537,0.2244,0.4157,28.5,27,29.5,31.1
66,"Indiv66",2886.956522,7060.869565,24,4.3,0.9149,4.2458,0.6102,0.6,0.0071,0.5471,0.2227,0.4748,21.6,23,24,24
67,"Indiv67",2886.956522,6017.391304,17,,,,,,,,,,,,,
68,"Indiv68",2886.956522,4973.913043,19,,,,,,,,,,,,,
69,"Indiv69",2886.956522,3930.434783,16,,,,,,,,,,,,,
70,"Indiv70",2886.956522,2886.956522,14,,,,,,,,,,,,,
71,"Indiv71",2886.956522,1843.478261,15,,,,,,,,,,,,,
72,"Indiv72",2886.956522,800,11,,,,,,,,,,,,,
73,"Indiv73",3930.434783,24800,25,4,0.8511,3.935,0.5616,0.58,,0.4886,0.2217,0.2965,14.3,18.3,20.1,20.1
74,"Indiv74",3930.434783,23756.52174,41,4.15,0.883,3.9945,0.5863,0.5854,,0.3972,0.1411,0.2746,23.6,24.4,24.7,27.8
75,"Indiv75",3930.434783,22713.04348,37,4.1,0.8723,3.9751,0.5835,0.5919,,0.3571,0.1579,0.2165,20.3,21.7,21.3,23
76,"Indiv76",3930.434783,21669.56522,40,4.1,0.8723,3.9665,0.5847,0.5738,,0.4041,0.1378,0.3266,18.4,22.3,21.8,23.5
77,"Indiv77",3930.434783,20626.08696,26,4.05,0.8617,3.961,0.5785,0.5712,,0.4278,0.1328,0.2949,13.1,13.8,14.6,15.6
78,"Indiv78",3930.434783,19582.6087,11,,,,,,,,,,,,,
79,"Indiv79",3930.434783,18539.13043,9,,,,,,,,,,,,,
80,"Indiv80",3930.434783,17495.65217,12,,,,,,,,,,,,,
81,"Indiv81",3930.434783,16452.17391,11,,,,,,,,,,,,,
82,"Indiv82",3930.434783,15408.69565,18,,,,,,,,,,,,,
83,"Indiv83",3930.434783,14365.21739,15,,,,,,,,,,,,,
84,"Indiv84",3930.434783,13321.73913,35,4.45,0.9468,4.2386,0.6102,0.5957,0.0293,0.5425,0.2311,0.3784,62,55.3,92.2,100.6
85,"Indiv85",3930.434783,12278.26087,48,4.6,0.9787,4.2802,0.6152,0.6021,0.0275,0.4602,0.1851,0.338,36.9,41,55,62.7
86,"Indiv86",3930.434783,11234.78261,48,4.55,0.9681,4.3037,0.6198,0.5958,0.0453,0.4467,0.2303,0.3965,39.8,43.1,47.9,53.5
87,"Indiv87",3930.434783,10191.30435,62,4.55,0.9681,4.3039,0.6184,0.6089,0.0214,0.4803,0.2329,0.3683,43.7,44.2,51.5,57.4
88,"Indiv88",3930.434783,9147.826087,62,4.55,0.9681,4.3038,0.6188,0.604,0.0303,0.4752,0.22,0.4141,47,47,54.1,60.8
89,"Indiv89",3930.434783,8104.347826,41,4.45,0.9468,4.266,0.6145,0.5805,0.0629,0.3486,0.1546,0.4712,33.7,29.3,32.8,34.7
90,"Indiv90",3930.434783,7060.869565,30,4.4,0.9362,4.2765,0.6224,0.615,0.0164,0.3981,0.1471,0.3446,23.4,20.8,23.6,25.5
91,"Indiv91",3930.434783,6017.391304,20,3.95,0.8404,3.95,0.5961,0.5975,,0.5534,0.1861,0.4003,36.4,35.5,35.6,35.6
92,"Indiv92",3930.434783,4973.913043,18,,,,,,,,,,,,,
93,"Indiv93",3930.434783,3930.434783,16,,,,,,,,,,,,,
94,"Indiv94",3930.434783,2886.956522,14,,,,,,,,,,,,,
95,"Indiv95",3930.434783,1843.478261,12,,,,,,,,,,,,,
96,"Indiv96",3930.434783,800,10,,,,,,,,,,,,,
97,"Indiv97",4973.913043,24800,27,4.2,0.8936,4.0963,0.5767,0.5704,,0.4693,0.1385,0.3399,17.9,21.4,22.7,27
98,"Indiv98",4973.913043,23756.52174,48,4.3,0.9149,4.0858,0.5957,0.5833,0.0159,0.426,0.1691,0.3095,24.1,26.5,26.7,30.5
99,"Indiv99",4973.913043,22713.04348,60,4.45,0.9468,4.1567,0.6003,0.5917,0.0096,0.3991,0.1293,0.2783,28.2,33.8,35.6,39.1
100,"Indiv100",4973.913043,21669.56522,56,4.45,0.9468,4.1662,0.5997,0.5839,0.0226,0.3506,0.1225,0.274,25.9,33.4,35.6,39
101,"Indiv101",4973.913043,20626.08696,21,4.05,0.8617,4.0355,0.5903,0.5738,,0.4471,0.1063,0.3284,13.4,19.8,20.9,20.9
102,"Indiv102",4973.913043,19582.6087,9,,,,,,,,,,,,,
103,"Indiv103",4973.913043,18539.13043,9,,,,,,,,,,,,,
104,"Indiv104",4973.913043,17495.65217,12,,,,,,,,,,,,,
105,"Indiv105",4973.913043,16452.17391,21,4.2,0.8936,4.1852,0.5919,0.5667,0.0312,0.5492,0.1865,0.4587,25.7,27.3,27.4,27.4
106,"Indiv106",4973.913043,15408.69565,42,4.45,0.9468,4.2757,0.6137,0.5833,0.044,0.5227,0.1702,0.4254,52.3,54.7,66.2,66.2
107,"Indiv107",4973.913043,14365.21739,54,4.5,0.9574,4.2732,0.6215,0.5963,0.0471,0.4915,0.1593,0.3316,88.1,88,92.5,101.1
108,"Indiv108",4973.913043,13321.73913,69,4.55,0.9681,4.2926,0.6262,0.6174,0.0153,0.5106,0.2327,0.3047,103.5,88.1,92.9,102.7
109,"Indiv109",4973.913043,12278.26087,67,4.6,0.9787,4.2899,0.6198,0.6164,0.006,0.5509,0.266,0.2318,88.8,88.5,93.8,110.3
110,"Indiv110",4973.913043,11234.78261,54,4.6,0.9787,4.3101,0.6168,0.5944,0.0421,0.506,0.202,0.4226,47.1,50.3,56.8,65.8
111,"Indiv111",4973.913043,10191.30435,62,4.55,0.9681,4.3029,0.6197,0.6113,0.0199,0.4807,0.2489,0.3612,47.1,48.9,54.1,60
112,"Indiv112",4973.913043,9147.826087,59,4.55,0.9681,4.3086,0.62,0.6085,0.0234,0.4193,0.2042,0.4261,44.9,45.1,52.6,59.3
113,"Indiv113",4973.913043,8104.347826,39,4.45,0.9468,4.2837,0.6193,0.5859,0.0596,0.3884,0.1845,0.425,23.2,25.4,29.8,33.2
114,"Indiv114",4973.913043,7060.869565,44,4.5,0.9574,4.2991,0.6242,0.6148,0.0188,0.2821,0.1522,0.2435,28.5,28.5,30.5,30.9
115,"Indiv115",4973.913043,6017.391304,26,4.25,0.9043,4.1722,0.6155,0.6077,0.0192,0.4035,0.1773,0.3234,22.6,22.2,26,27.2
116,"Indiv116",4973.913043,4973.913043,24,4.1,0.8723,4.046,0.5989,0.6021,-0.0126,0.5447,0.1347,0.4467,21.4,18.7,27.1,27.1
117,"Indiv117",4973.913043,3930.434783,24,4.05,0.8617,3.9929,0.6093,0.6042,4e-04,0.5066,0.1115,0.402,25.8,27.1,44.1,44.1
118,"Indiv118",4973.913043,2886.956522,18,,,,,,,,,,,,,
119,"Indiv119",4973.913043,1843.478261,10,,,,,,,,,,,,,
120,"Indiv120",4973.913043,800,7,,,,,,,,,,,,,
